Lake,Fish,SB,Char,Fish_Community,Drainage,Region,Lat,Long,Area_ha,Perimeter_m,Altitude_m,Max_Depth_m
AK10,SBC,1,1,SBC,D_AL4,A,60.6698,-46.1208,4.2,2064,17,1
AK11,SBC,1,1,SBC,D_AL4,A,60.6691,-46.1282,1.5,679,30,4
AK2,SBC,1,1,SBC,D_AL4,A,60.6737,-46.1002,2.1,1226,4,3
AK4,SB,1,0,SB,D_AL4,A,60.6720,-46.0970,7.4,3319,14,2
AK7,SB,1,0,SB,D_AL4,A,60.6680,-46.0896,1.1,436,33,2
AK8,SB,1,0,SB,D_AL4,A,60.6672,-46.0936,3.6,1287,25,2
AK9,SBC,1,1,SBC,D_AL4,A,60.6691,-46.1123,3.5,2022,24,2
AL4,SBC,1,1,SBC,D_AL4,A,60.6685,-46.1114,42.8,6090,14,34
AP3,SBC,1,1,SBC,D_AL4,A,60.6730,-46.0911,11.3,2877,21,5
Beach_lake,SB,1,0,SB,D_Beach_lake,Q,61.1644,-45.6875,3.3,852,66,6
Cedar_lake,SB,1,0,SB,D_CL,Q,61.1788,-45.4272,8.1,1969,27,2.5
EFL2,SB,1,0,SB,D_L26,Q,61.2495,-45.5527,18.5,2985,261,15
ERL001,SBC,1,1,SBC,D_ERL001,Q,61.0716,-45.6045,51.8,10119,139,13
ERL124,SB,1,0,SB,D_ERL125,Q,61.1532,-45.6324,2.3,955,57,5
ERL125,SB,1,0,SB,D_ERL125,Q,61.1569,-45.6364,3.7,1589,52,1.5
ERL137,SBC,1,1,SBC,D_ERL137,Q,61.0854,-45.7482,13.4,1917,6,12
ERL138,SB,1,0,SB,D_ERL138,Q,61.0847,-45.7325,6.0,1418,18,1
ERL153,SB,1,0,SB,D_ERL084,Q,61.1390,-45.5836,0.7,362,171,10.5
ERL016,SBC,1,1,SBC,D_ERL001,Q,61.0651,-45.5610,15.0,2282,56,16
ERL017,SBC,1,1,SBC,D_ERL001,Q,61.0686,-45.5451,9.5,1910,51,15.5
ERL033,SBC,1,1,SBC,D_ERL033,Q,61.1184,-45.5808,2.5,799,120,6.5
ERL006,SB,1,0,SB,D_ERL006,Q,61.1460,-45.5288,7.2,1328,93,13
ERL067,SBC,1,1,SBC,D_ERL067,Q,61.0795,-45.6518,3.2,833,99,6.5
ERL084,SB,1,0,SB,D_ERL084,Q,61.1381,-45.5868,2.5,611,149,17
L26,SBC,1,1,SBC,D_L26,Q,61.2533,-45.5291,26.3,4101,124,8
TUL10,SB,1,0,SB,D_TUL10,T,60.8515,-46.4635,64.5,5606,50,14
TUL6,SBC,1,1,SBC,D_TUL6,T,60.8424,-46.4555,29.3,4642,14,10
TUL8,SBC,1,1,SBC,D_TUL_8,T,60.8504,-46.4938,48.1,5448,13,20
TULX10,SB,1,0,SB,D_TULX10,T,60.8666,-46.5015,2.5,1188,43,7.5
TULX11,SB,1,0,SB,D_TULX11,T,60.8669,-46.4932,0.3,235,35,2.5
TULX5,SB,1,0,SB,D_TUL_8,T,60.8592,-46.4882,1.2,574,91,4
TULX6,SB,1,0,SB,D_TULX8,T,60.8601,-46.4813,3.0,735,40,6
TULX8,SB,1,0,SB,D_TULX8,T,60.8626,-46.4822,7.3,1567,36,5
TUP19,SBC,1,1,SBC,D_TUP19,T,60.8246,-46.5022,28.6,3542,4,16
TUPX1,SBC,1,1,SBC,D_TUL6,T,60.8372,-46.4482,14.9,2311,68,7.5
TUPX2,SBC,1,1,SBC,D_TUL6,T,60.8284,-46.4529,4.0,1599,61,3.5

